policy_number,policy_deductible,policy_annual_premium,umbrella_limit,insured_age,incident_hour_of_the_day,collision_type,number_of_vehicles,total_claim_amount,fraud_reported
POL46357,500,1765,50000,56,19,Side Impact,4,17954,Yes
POL31606,2000,2284,50000,75,9,Front Collision,4,8444,Yes
POL14551,1000,1297,150000,58,23,Side Impact,1,4026,Yes
POL23728,1000,2975,50000,41,5,Rear-End,5,7829,No
POL75430,1000,711,50000,49,10,Side Impact,5,10590,Yes
POL90988,500,668,150000,34,8,Side Impact,1,7260,No
POL25064,2000,2197,50000,68,23,Hit & Run,3,3788,No
POL35561,500,1798,50000,31,23,Rear-End,1,13087,Yes
POL34109,2000,998,50000,73,18,Side Impact,1,5535,Yes
POL95414,500,2632,150000,64,0,Rollover,3,17985,Yes
POL30133,1000,2183,150000,66,11,Side Impact,4,2932,No
POL64115,2000,1833,50000,66,8,Side Impact,5,17742,Yes
POL34945,1000,2205,150000,33,3,Rollover,4,6119,Yes
POL25650,500,2116,100000,71,14,Front Collision,4,5319,No
POL45014,500,2463,50000,59,9,Rear-End,3,1225,No
POL75341,1000,843,100000,29,3,Hit & Run,1,17918,Yes
POL68967,1000,2910,150000,28,14,Rollover,5,1918,No
POL20081,500,715,100000,63,22,Rear-End,1,19177,Yes
POL57499,1000,1715,150000,74,22,Hit & Run,3,13419,Yes
POL10287,2000,2935,150000,50,12,Rear-End,5,5111,No
POL10105,500,1716,100000,40,6,Hit & Run,3,9272,Yes
POL23811,2000,2507,50000,38,0,Side Impact,2,12688,No
POL16364,2000,1407,50000,74,15,Hit & Run,2,3590,Yes
POL80739,500,2489,50000,75,15,Hit & Run,5,19851,No
POL29645,500,2047,50000,43,21,Rollover,1,19707,No
POL93677,2000,627,150000,34,6,Side Impact,3,4930,Yes
POL56929,2000,915,100000,44,10,Front Collision,2,18156,No
POL63201,1000,1310,150000,23,12,Front Collision,3,3566,Yes
POL39380,1000,1745,100000,27,10,Rear-End,2,3810,No
POL52657,2000,1454,150000,62,13,Hit & Run,2,14112,No
POL35957,1000,788,50000,21,16,Rollover,4,17455,Yes
POL28542,500,2408,100000,77,23,Hit & Run,1,9742,No
POL36601,1000,1332,50000,36,4,Hit & Run,4,3127,No
POL57762,2000,805,150000,47,1,Rollover,4,4274,Yes
POL74949,1000,2750,150000,74,6,Hit & Run,5,6614,Yes
POL23795,500,2179,50000,25,20,Front Collision,2,18594,Yes
POL53195,1000,2636,100000,22,22,Hit & Run,2,6481,No
POL54669,1000,2393,150000,52,21,Hit & Run,2,17449,Yes
POL84111,2000,1559,150000,29,21,Rear-End,5,12003,No
POL29271,2000,2934,150000,73,4,Rollover,4,17640,No
POL36387,1000,2619,100000,24,8,Front Collision,1,10176,No
POL19821,1000,1792,50000,25,21,Front Collision,2,8270,Yes
POL80302,2000,2880,50000,67,15,Rear-End,5,8933,No
POL47207,2000,710,50000,24,1,Rollover,3,9637,Yes
POL94637,1000,1170,50000,33,16,Hit & Run,1,1343,Yes
POL40631,500,2224,150000,18,7,Rollover,3,6002,Yes
POL46449,500,619,150000,70,14,Rear-End,1,3057,No
POL23188,2000,1916,150000,20,11,Hit & Run,1,17684,Yes
POL47582,1000,737,100000,25,12,Front Collision,4,15313,Yes
POL83865,1000,941,150000,68,1,Rollover,5,12297,No
POL38091,1000,2321,150000,70,14,Front Collision,4,8362,Yes
POL23791,1000,2016,100000,32,7,Rear-End,2,11482,No
POL33644,1000,1509,50000,22,0,Hit & Run,1,15262,No
POL61287,2000,2600,150000,31,17,Rear-End,5,17849,Yes
POL22174,500,1560,100000,29,2,Side Impact,2,8801,Yes
POL13670,1000,2077,150000,72,12,Front Collision,5,18193,Yes
POL67360,500,1608,150000,80,16,Hit & Run,3,4006,Yes
POL92164,1000,2691,50000,79,22,Side Impact,3,13150,Yes
POL46546,2000,1791,150000,56,19,Side Impact,3,8594,Yes
POL84934,500,2913,50000,21,21,Hit & Run,2,16087,No
POL17531,2000,2435,100000,49,18,Side Impact,2,17384,Yes
POL49875,2000,2686,100000,64,11,Front Collision,3,15679,No
POL63286,2000,1119,150000,61,23,Hit & Run,5,15557,Yes
POL53385,500,2055,100000,66,19,Rollover,2,11044,Yes
POL79532,2000,702,150000,85,17,Rollover,1,3105,No
POL85612,500,2528,50000,22,3,Side Impact,5,11680,Yes
POL16319,1000,568,50000,50,1,Front Collision,5,16522,Yes
POL62759,500,2942,50000,38,2,Rollover,1,7036,No
POL23669,500,2607,100000,42,12,Front Collision,1,10748,No
POL13194,1000,2935,50000,35,2,Hit & Run,2,17864,Yes
POL40263,500,2978,100000,34,21,Rear-End,3,13281,No
POL57767,1000,787,50000,66,16,Rear-End,5,12903,No
POL55606,2000,2872,100000,51,1,Hit & Run,4,10127,No
POL50141,2000,888,50000,79,4,Rear-End,2,1162,Yes
POL88179,500,639,100000,41,6,Side Impact,5,2975,No
POL95745,500,2762,50000,67,5,Rollover,4,1478,Yes
POL17962,2000,1990,50000,66,7,Rear-End,1,6726,Yes
POL79039,500,1948,100000,19,7,Hit & Run,4,18980,Yes
POL36873,2000,1450,50000,85,7,Hit & Run,4,17034,No
POL94940,1000,582,150000,44,15,Rollover,3,2391,No
POL61671,1000,2972,50000,82,14,Rollover,2,4084,Yes
POL13379,2000,2782,100000,66,16,Rollover,2,6451,No
POL36275,2000,2002,150000,41,3,Rollover,3,12802,No
POL63458,2000,854,50000,74,7,Hit & Run,2,17622,No
POL32357,500,1949,50000,76,7,Rear-End,5,5665,Yes
POL56902,500,868,100000,65,21,Rear-End,1,17955,Yes
POL31342,500,1462,150000,82,11,Side Impact,3,5719,Yes
POL82740,2000,864,50000,45,11,Side Impact,4,12259,No
POL91679,2000,2123,50000,84,18,Rear-End,4,1221,Yes
POL45425,1000,1625,50000,37,2,Rear-End,5,12397,No
POL68864,2000,529,50000,37,16,Rear-End,1,2276,Yes
POL75211,1000,2628,100000,32,11,Rollover,4,18000,No
POL55271,500,2003,150000,82,10,Rear-End,3,12197,No
POL49770,2000,2394,50000,67,12,Hit & Run,4,3893,Yes
POL34345,1000,1062,100000,75,6,Front Collision,1,9198,Yes
POL25409,1000,1319,100000,30,5,Rear-End,1,14900,No
POL12346,1000,502,150000,76,17,Rear-End,2,10049,No
POL30010,1000,570,150000,35,5,Rear-End,1,18587,No
POL17464,1000,2693,150000,32,7,Hit & Run,1,16844,No
POL48348,1000,2582,50000,57,12,Side Impact,2,11929,No
POL28955,500,2576,100000,46,21,Rear-End,1,16656,No
POL59322,2000,1975,50000,39,2,Rollover,5,3980,Yes
POL35677,1000,1457,150000,69,21,Rear-End,3,4391,No
POL74909,2000,1269,100000,44,17,Front Collision,4,15214,Yes
POL73390,1000,1572,150000,59,7,Rollover,2,17365,No
POL16339,1000,1912,100000,34,11,Rear-End,5,19595,No
POL95625,1000,2051,150000,77,13,Rollover,4,7523,No
POL68988,2000,1763,100000,56,6,Front Collision,5,11342,Yes
POL21147,500,1597,100000,20,4,Rear-End,5,19583,Yes
POL14603,1000,2876,50000,85,4,Front Collision,2,18006,No
POL85397,2000,2157,150000,35,4,Rollover,5,5689,Yes
POL16278,500,730,100000,42,14,Hit & Run,4,19070,Yes
POL52432,2000,1009,100000,34,3,Hit & Run,5,9677,No
POL33198,500,2620,50000,53,17,Rear-End,3,1278,No
POL60366,1000,851,50000,52,11,Front Collision,4,7870,Yes
POL30918,1000,1229,50000,85,14,Front Collision,3,18472,No
POL47619,500,1738,150000,43,12,Front Collision,2,17786,No
POL85136,500,2903,150000,45,9,Rollover,1,7698,Yes
POL23745,2000,2354,100000,23,12,Hit & Run,2,5148,No
POL85114,500,1324,150000,82,0,Side Impact,1,4579,No
POL73205,2000,2165,50000,76,21,Rollover,4,15677,No
POL38360,1000,2754,50000,50,7,Rollover,1,8678,No
POL24515,500,2205,100000,59,7,Rear-End,2,8033,Yes
POL59382,2000,939,150000,77,1,Rollover,3,8769,Yes
POL57154,1000,917,100000,43,20,Side Impact,5,19246,No
POL49444,500,1344,100000,38,14,Side Impact,5,19654,Yes
POL56387,1000,633,50000,37,0,Front Collision,2,6097,No
POL23405,2000,751,100000,44,8,Rollover,1,4254,No
POL26277,2000,730,150000,61,23,Side Impact,3,8088,Yes
POL10660,1000,2137,150000,81,3,Hit & Run,4,18893,No
POL93997,500,529,50000,64,9,Front Collision,3,18585,No
POL23119,1000,1484,50000,41,18,Hit & Run,4,14613,Yes
POL57041,500,1587,150000,35,3,Rollover,1,12070,No
POL51313,1000,2419,50000,82,21,Hit & Run,3,10062,No
POL59115,2000,2983,150000,50,14,Rear-End,4,2066,Yes
POL16384,2000,2186,150000,44,8,Side Impact,3,17028,Yes
POL73544,1000,2654,100000,56,8,Hit & Run,3,10458,Yes
POL87265,1000,2402,150000,32,7,Rollover,3,2271,No
POL32755,500,2638,100000,78,7,Rollover,1,19452,Yes
POL72302,2000,2645,150000,49,1,Hit & Run,5,11417,No
POL83507,1000,2734,50000,77,15,Rear-End,2,16675,No
POL36343,500,2277,100000,67,20,Front Collision,5,16197,No
POL74855,500,1515,150000,19,5,Side Impact,1,17787,No
POL25712,2000,1261,50000,79,14,Hit & Run,5,9908,No
POL93799,2000,2947,50000,42,11,Rollover,1,5168,No
POL18603,1000,2982,100000,31,13,Side Impact,5,10931,Yes
POL72206,500,2488,150000,62,7,Hit & Run,2,19043,No
POL82638,1000,2071,100000,43,3,Front Collision,4,4730,Yes
POL82396,2000,625,150000,35,20,Hit & Run,4,11675,Yes
POL13619,500,2134,100000,75,22,Side Impact,1,3268,No
POL27071,1000,1568,50000,22,20,Side Impact,4,1287,Yes
POL51249,1000,1436,100000,68,3,Front Collision,1,1504,Yes
POL20191,2000,794,50000,33,4,Hit & Run,4,2857,Yes
POL73940,500,1754,50000,24,2,Hit & Run,5,19131,No
POL62381,2000,2813,150000,36,14,Side Impact,3,13096,No
POL85267,2000,2635,100000,20,6,Hit & Run,1,7263,Yes
POL48839,500,1078,50000,32,20,Front Collision,5,5285,No
POL27272,2000,1368,50000,85,3,Hit & Run,2,7746,No
POL82423,2000,2100,100000,60,22,Front Collision,1,12891,Yes
POL31395,500,1387,150000,42,4,Side Impact,1,8935,Yes
POL57259,1000,1350,150000,29,2,Rear-End,1,11388,No
POL27568,1000,1337,50000,45,2,Front Collision,3,10114,No
POL75228,1000,1975,100000,61,14,Hit & Run,5,1011,Yes
POL17473,500,2052,50000,85,18,Side Impact,2,4191,Yes
POL20562,500,1258,50000,82,22,Rear-End,5,15173,Yes
POL45726,2000,2376,50000,22,16,Front Collision,2,10216,Yes
POL83732,2000,2344,50000,32,12,Rollover,4,8410,No
POL82513,500,1228,150000,36,12,Rear-End,1,4726,No
POL42348,1000,2249,50000,50,15,Side Impact,4,10173,No
POL98918,1000,1223,150000,29,18,Rear-End,1,19924,No
POL89278,2000,2370,50000,82,5,Rear-End,5,11979,No
POL71888,1000,775,50000,49,21,Front Collision,4,2950,No
POL91715,2000,740,150000,39,9,Rollover,3,16696,Yes
POL85420,2000,1635,50000,77,15,Rollover,4,16317,Yes
POL67310,2000,2113,50000,68,7,Front Collision,1,4057,No
POL61787,2000,2645,150000,72,9,Front Collision,1,9906,Yes
POL27185,500,1189,100000,35,1,Side Impact,4,19138,Yes
POL36058,2000,2082,150000,33,14,Rollover,2,19835,Yes
POL78086,500,1901,100000,55,22,Rear-End,5,7939,No
POL76355,500,2143,150000,83,11,Rear-End,1,1464,No
POL13619,2000,829,100000,21,5,Rear-End,5,17209,Yes
POL53696,2000,1296,150000,65,9,Side Impact,3,4036,No
POL13728,500,788,100000,47,17,Rollover,2,14299,Yes
POL25928,500,1321,150000,71,19,Hit & Run,2,18767,No
POL63069,500,1914,100000,24,18,Rollover,5,15385,No
POL38296,500,900,50000,59,3,Rollover,2,4424,No
