policy_number,policy_deductible,policy_annual_premium,umbrella_limit,insured_age,incident_hour_of_the_day,collision_type,number_of_vehicles,total_claim_amount,fraud_reported
POL10215,2000,1461,150000,59,15,Front Collision,1,9635,No
POL87455,1000,1081,50000,24,6,Rollover,5,16691,No
POL68214,1000,2295,150000,51,7,Rear-End,4,17468,Yes
POL70650,500,2743,150000,19,11,Rear-End,1,3104,No
POL52154,2000,634,150000,20,13,Rollover,2,2000,No
POL34272,500,982,100000,25,8,Front Collision,2,12692,No
POL91478,500,1840,150000,59,23,Rollover,3,1934,No
POL75671,1000,1037,100000,72,20,Rollover,2,1169,Yes
POL57106,2000,2034,100000,24,9,Rollover,2,15271,No
POL72828,500,2165,150000,64,20,Rollover,1,4507,No
POL41351,500,1872,150000,85,17,Front Collision,1,8698,No
POL37488,1000,1791,50000,37,6,Front Collision,4,16335,No
POL59480,2000,617,100000,71,18,Hit & Run,1,19260,No
POL68900,2000,1251,150000,75,4,Rear-End,4,17059,No
POL20498,500,1411,100000,28,16,Rollover,5,1597,No
POL80447,2000,700,150000,19,2,Rear-End,4,7966,No
POL12957,2000,2640,150000,64,3,Side Impact,4,6933,Yes
POL70366,500,1590,150000,83,17,Side Impact,2,17872,Yes
POL97649,1000,1861,50000,52,12,Hit & Run,4,6171,No
POL75392,500,626,150000,69,14,Side Impact,2,4540,No
POL53890,1000,1069,50000,19,19,Side Impact,1,12036,No
POL37909,2000,2221,100000,43,15,Rollover,2,8224,No
POL78827,2000,2132,150000,21,8,Rollover,5,18101,Yes
POL85553,500,2140,150000,21,13,Rollover,4,1289,No
POL61053,2000,2647,100000,82,18,Rollover,3,12670,No
POL78161,1000,2459,100000,73,5,Front Collision,1,1982,No
POL84808,2000,856,100000,65,9,Front Collision,2,7109,No
POL39741,1000,1166,150000,23,5,Rollover,2,18124,No
POL93907,2000,867,50000,38,11,Rollover,3,2677,No
POL14228,500,765,50000,84,13,Side Impact,3,8841,No
POL23014,500,1783,150000,26,17,Hit & Run,2,14013,No
POL84002,2000,1494,150000,84,8,Side Impact,3,19563,No
POL33414,500,1720,50000,81,19,Hit & Run,5,15631,Yes
POL63657,500,2741,100000,73,3,Rear-End,3,16676,Yes
POL37920,2000,1424,150000,34,11,Side Impact,5,1668,No
POL53696,500,2310,100000,42,16,Side Impact,2,15288,No
POL48132,2000,648,150000,36,10,Rollover,2,18698,No
POL75748,500,2861,150000,49,8,Hit & Run,2,9641,Yes
POL84139,1000,1862,150000,77,11,Rear-End,4,13950,No
POL70025,500,2809,150000,65,9,Side Impact,5,15171,Yes
POL94830,500,2737,100000,48,20,Rollover,3,2574,No
POL51123,1000,2170,50000,74,9,Front Collision,2,8317,No
POL40544,500,863,150000,84,4,Rollover,5,7298,No
POL82802,1000,716,150000,39,5,Rollover,5,5594,No
POL67062,500,1129,150000,23,7,Rear-End,4,8491,No
POL16984,2000,2179,100000,80,12,Rollover,5,18607,No
POL33895,2000,1289,100000,39,22,Rollover,4,12958,No
POL43763,2000,1712,100000,75,20,Rear-End,1,4596,No
POL61337,2000,1059,100000,45,16,Hit & Run,4,8607,No
POL52444,2000,2399,150000,73,17,Rollover,2,3431,No
POL30774,500,2547,50000,47,23,Hit & Run,4,14159,Yes
POL15883,1000,2568,100000,35,11,Rear-End,4,8760,No
POL99453,500,1378,150000,83,23,Rollover,4,4470,No
POL20140,500,2470,150000,33,21,Front Collision,2,12987,No
POL45749,1000,2713,150000,82,21,Front Collision,5,17334,No
POL97303,1000,2884,100000,27,8,Front Collision,2,3821,No
POL81786,2000,1665,50000,49,13,Rollover,2,18009,No
POL92601,500,680,150000,41,7,Hit & Run,3,8623,No
POL29664,500,1312,100000,45,13,Front Collision,4,19827,No
POL85841,1000,2541,150000,59,21,Rear-End,1,3233,No
POL79043,500,2104,150000,60,8,Side Impact,2,11485,No
POL87462,2000,1968,50000,64,9,Side Impact,4,19524,No
POL60308,500,2161,50000,19,11,Rollover,4,18877,Yes
POL76989,500,2984,150000,82,7,Side Impact,3,17392,Yes
POL30047,500,1379,100000,76,7,Rollover,3,2663,No
POL42873,2000,586,150000,30,13,Hit & Run,2,13294,No
POL65050,2000,1990,50000,68,19,Hit & Run,3,18707,No
POL93820,500,1588,150000,56,7,Rollover,3,19349,No
POL30238,500,2812,150000,51,18,Front Collision,2,11659,No
POL23035,1000,1945,50000,23,10,Front Collision,3,3936,No
POL59261,500,2701,100000,64,0,Side Impact,2,7017,No
POL18772,2000,2144,150000,18,6,Side Impact,2,17128,No
POL11709,2000,2080,150000,42,13,Front Collision,5,13083,No
POL28928,500,555,100000,58,19,Rollover,1,1058,No
POL59051,500,1967,50000,29,23,Rollover,4,16095,Yes
POL69358,500,1193,50000,64,23,Rear-End,5,14376,Yes
POL63844,1000,2871,150000,84,15,Rear-End,1,14046,No
POL63060,500,1118,150000,40,18,Rear-End,4,2676,No
POL29649,2000,1862,150000,78,3,Hit & Run,4,3812,Yes
POL75162,500,830,100000,53,15,Rear-End,5,10008,No
POL89653,2000,1595,50000,37,10,Rollover,2,8125,No
POL74226,1000,774,100000,60,7,Side Impact,5,6921,No
POL84974,2000,2446,100000,30,10,Side Impact,2,11611,No
POL16854,2000,2131,50000,79,0,Side Impact,4,10388,No
POL70569,1000,2349,150000,18,23,Rear-End,2,9133,No
POL31882,500,2410,150000,42,1,Rear-End,1,8340,No
POL26239,2000,2421,100000,83,20,Hit & Run,5,9373,No
POL56660,2000,908,50000,62,1,Rollover,2,12755,No
POL41321,500,2688,100000,83,9,Rear-End,2,16410,No
POL54948,500,636,50000,37,4,Front Collision,4,16102,Yes
POL12213,1000,2895,50000,52,20,Hit & Run,1,14743,No
POL66573,1000,939,100000,49,13,Hit & Run,3,13310,No
POL93479,2000,1750,150000,75,1,Hit & Run,2,17453,Yes
POL91975,1000,1576,150000,32,3,Side Impact,5,1473,No
POL83102,500,1254,50000,74,20,Rollover,3,2164,No
POL12589,500,1776,100000,79,23,Side Impact,2,15881,Yes
POL76739,1000,1762,100000,82,19,Front Collision,3,11818,No
POL12649,2000,1036,100000,30,20,Rollover,2,4276,No
POL48128,2000,2159,150000,31,4,Rear-End,4,2035,No
POL25287,2000,1577,150000,25,8,Hit & Run,2,2161,Yes
POL61015,2000,2799,150000,30,7,Hit & Run,4,19105,Yes
POL24765,1000,811,150000,48,18,Side Impact,1,13852,No
POL26525,1000,2682,100000,62,20,Side Impact,4,5238,No
POL11137,1000,1911,100000,81,19,Hit & Run,5,1639,No
POL94143,2000,1072,100000,19,7,Hit & Run,5,16383,No
POL51781,2000,665,100000,70,18,Side Impact,1,9073,No
POL93066,2000,1800,100000,54,22,Side Impact,5,18196,No
POL44222,1000,1302,50000,32,18,Hit & Run,4,17325,No
POL74949,1000,999,150000,34,13,Side Impact,5,11042,No
POL74623,2000,1838,50000,27,16,Front Collision,2,19586,No
